FR,GB
un,a
matin,a.m.
abandonner,abandon
abandonné,abandoned
aptitude,ability
pouvoir,able
à bord,aboard
sur,about
au dessus,above
à l'étranger,abroad
absolu,absolute
Tout à fait,absolutely
absurde,absurd
abuser de,abuse
académie,academy
accent,accent
J'accepte,accept
accepté,accepted
accéder,access
accident,accident
accidentellement,accidentally
selon,according
Compte,account
comptes,accounts
accusé,accused
as,ace
atteindre,achieve
acide,acid
de l'autre côté,across
loi,act
agi,acted
agissant,acting
action,action
Actions,actions
actif,active
Activités,activities
activité,activity
acteur de cinéma,actor
acteurs,actors
actrice,actress
actes,acts
réel,actual
réellement,actually
un d,ad
ajouter,add
ajoutée,added
ajout,addition
adresse,address
amiral,admiral
admirer,admire
admettre,admit
admis,admitted
adopté,adopted
adorable,adorable
Adrian,adrian
adulte,adult
adultes,adults
avance,advance
Avancée,advanced
avantage,advantage
aventure,adventure
conseils,advice
conseiller,advise
aventure,affair
affaires,affairs
affecter,affect
affecté,affected
s'offrir,afford
peur,afraid
Afrique,africa
africain,african
après,after
après midi,afternoon
ensuite,afterwards
encore,again
contre,against
âge,age
agence,agency
agent,agent
agents,agents
âge,ages
agressif,aggressive
depuis,ago
Je suis d'accord,agree
convenu,agreed
accord,agreement
ah,ah
en avant,ahead
ahem,ahem
ahh,ahh
aide,aid
aii,aii
objectif,aim
se faire,ain
air,air
avion,aircraft
aéroport,airport
Al,al
Alan,alan
alarme,alarm
Albert,albert
album,album
de l'alcool,alcohol
alerte,alert
Alex,alex
Alexandre,alexander
Ali,ali
alibi,alibi
Alice,alice
Alicia,alicia
extraterrestre,alien
extraterrestres,aliens
ressemblent,alike
vivant,alive
tout,all
tout,all
Allen,allen
ruelle,alley
Alliance,alliance
Allison,allison
Autoriser,allow
autorisé,allowed
allié,ally
presque,almost
seul,alone
sur,along
alpha,alpha
déjà,already
bien,alright
aussi,also
alternative,alternative
même si,although
toujours,always
un m,am
un m,am
amanda,amanda
étonnante,amazing
ambassadeur,ambassador
ambre,amber
ambulance,ambulance
amen,amen
Amérique,america
américain,american
les Américains,americans
parmi,among
parmi,amongst
montant,amount
Amy,amy
un,an
une analyse,analysis
les ancêtres,ancestors
ancien,ancient
et,and
et,and
et-,and-
Anderson,anderson
Andrea,andrea
Andrew,andrew
Andy,andy
ange,angel
Angela,angela
angeles,angeles
anges,angels
colère,anger
angle,angle
fâché,angry
animal,animal
animaux,animals
Ann,ann
anna,anna
Anne,anne
Annie,annie
anniversaire,anniversary
annoncer,announce
annonce,announcement
annonceur,announcer
énervant,annoying
anonyme,anonymous
une autre,another
réponse,answer
répondu,answered
réponse,answering
réponses,answers
Anthony,anthony
Antonio,antonio
anxieux,anxious
n'importe quel,any
n'importe qui,anybody
plus,anymore
quelqu'un,anyone
n'importe quoi,anything
à toute heure,anytime
De toute façon,anyway
de toute façon,anyways
partout,anywhere
une part,apart
appartement,apartment
excuses,apologies
s'excuser,apologize
excuses,apology
Apparemment,apparently
appel,appeal
apparaître,appear
apparence,appearance
est apparu,appeared
apparaît,appears
applaudissements,applause
Pomme,apple
application,application
appliquer,apply
rendez-vous,appointment
apprécier,appreciate
approcher,approach
approchant,approaching
approprié,appropriate
approuver,approve
avril,april
sommes,are
Région,area
zones,areas
nœud,aren
se disputer,argue
argumentant,arguing
dispute,argument
bras,arm
armé,armed
les bras,arms
armée,army
autour de,around
organiser,arrange
organisé,arranged
dispositions,arrangements
arrêter,arrest
arrêté,arrested
Arrivées,arrival
arriver,arrive
arrivé,arrived
arrive,arrives
en arrivant,arriving
La Flèche,arrow
cul,arse
art,art
Arthur,arthur
article,article
artiste,artist
artistes,artists
arts,arts
comme,as
cendre,ash
honteux,ashamed
cendres,ashes
Ashley,ashley
de côté,aside
interroger,ask
a demandé,asked
demande,asking
demande,asks
endormi,asleep
cul,ass
assaut,assault
Connard,asshole
attribué,assigned
mission,assignment
assistance,assistance
assistant,assistant
association,association
assumé,assumed
en supposant,assuming
assurer,assure
à,at
a mangé,ate
atmosphère,atmosphere
ci-joint,attached
attaque,attack
attaqué,attacked
attaquant,attacking
attaques,attacks
tentative,attempt
tentative,attempted
assister à,attend
attention,attention
attitude,attitude
avocat,attorney
attiré,attracted
attrayant,attractive
spectateurs,audience
audition,audition
Audrey,audrey
août,august
tante,aunt
tata,auntie
Australie,australia
les autorités,authorities
autorité,authority
autopsie,autopsy
disponible,available
rue,avenue
moyen,average
éviter de,avoid
aw,aw
éveillé,awake
décerner,award
au courant,aware
une façon,away
impressionnant,awesome
terrible,awful
terriblement,awfully
gênant,awkward
oui,ay
toujours,aye
b,b
né,b.
bébé,babe
bébés,babies
bébé,baby
retour,back
Contexte,background
sauvegarde,backup
en arrière,backwards
lard,bacon
mal,bad
badge,badge
mal,badly
sac,bag
Sacs,bags
caution,bail
baiey,bailey
appât,bait
boulanger,baker
solde,balance
Balle,ball
des balles,balls
banane,banana
bande,band
pan,bang
claquement,banging
banque,bank
banques,banks
bar,bar
Barbara,barbara
à peine,barely
aubaine,bargain
aboiement,barking
Grange,barn
Barney,barney
baron,baron
baril,barrel
barry,barry
bars,bars
base,base
base-ball,baseball
basé,based
sous-sol,basement
de base,basic
fondamentalement,basically
base,basis
corbeille,basket
basket,basketball
bâtard,bastard
salauds,bastards
chauve souris,bat
bain,bath
salle de bains,bathroom
homme chauve-souris,batman
la batterie,battery
bataille,battle
la baie,bay
être,be
plage,beach
rayonner,beam
des haricots,beans
ours,bear
barbe,beard
ours,bears
la bête,beast
battre,beat
battu,beaten
battement,beating
Beats,beats
belle,beautiful
beauté,beauty
est devenu,became
car,because
Becky,becky
devenir,become
devient,becomes
qui est devenu,becoming
lit,bed
chambre,bedroom
abeille,bee
bœuf,beef
a été,been
bip,beep
bip,beeping
bips,beeps
Bière,beer
avant de,before
mendier,beg
a commencé,began
mendicité,begging
commencer,begin
début,beginning
commence,begins
commencé,begun
au nom de,behalf
se comporter,behave
comportement,behavior
derrière,behind
étant,being
êtres,beings
croyance,belief
croire,believe
a cru,believed
croit,believes
croire,believing
cloche,bell
cloches,bells
ventre,belly
appartenir,belong
appartenir,belonged
fait parti,belongs
bien-aimé,beloved
dessous,below
ceinture,belt
Ben,ben
banc,bench
pliez,bend
sous,beneath
bénéficier à,benefit
Berlin,berlin
à côté de,beside
outre,besides
meilleur,best
pari,bet
Beth,beth
trahir,betray
trahi,betrayed
meilleur,better
Betty,betty
entre,between
au-delà,beyond
Bible,bible
offre,bid
gros,big
plus gros,bigger
plus grand,biggest
Bicyclette,bike
facture,bill
milliard,billion
factures,bills
gamelle,billy
poubelle,bin
bingo,bingo
oiseau,bird
des oiseaux,birds
naissance,birth
date d'anniversaire,birthday
évêque,bishop
bit,bit
chienne,bitch
