GB,FR
a,un
a.m.,matin
abandon,abandonner
abandoned,abandonné
ability,aptitude
able,pouvoir
aboard,à bord
about,sur
above,au dessus
abroad,à l'étranger
absolute,absolu
absolutely,Tout à fait
absurd,absurde
abuse,abuser de
academy,académie
accent,accent
accept,J'accepte
accepted,accepté
access,accéder
accident,accident
accidentally,accidentellement
according,selon
account,Compte
accounts,comptes
accused,accusé
ace,as
achieve,atteindre
acid,acide
across,de l'autre côté
act,loi
acted,agi
acting,agissant
action,action
actions,Actions
active,actif
activities,Activités
activity,activité
actor,acteur de cinéma
actors,acteurs
actress,actrice
acts,actes
actual,réel
actually,réellement
ad,un d
adam,Adam
add,ajouter
added,ajoutée
addition,ajout
address,adresse
admiral,amiral
admire,admirer
admit,admettre
admitted,admis
adopted,adopté
adorable,adorable
adrian,Adrian
adult,adulte
adults,adultes
advance,avance
advanced,Avancée
advantage,avantage
adventure,aventure
advice,conseils
advise,conseiller
affair,aventure
affairs,affaires
affect,affecter
affected,affecté
afford,s'offrir
afraid,peur
africa,Afrique
african,africain
after,après
afternoon,après midi
afterwards,ensuite
again,encore
against,contre
age,âge
agency,agence
agent,agent
agents,agents
ages,âge
aggressive,agressif
ago,depuis
agree,Je suis d'accord
agreed,convenu
agreement,accord
ah,ah
ahead,en avant
ahem,ahem
ahh,ahh
aid,aide
aii,aii
aim,objectif
ain,se faire
air,air
aircraft,avion
airport,aéroport
al,Al
alan,Alan
alarm,alarme
albert,Albert
album,album
alcohol,de l'alcool
alert,alerte
alex,Alex
alexander,Alexandre
ali,Ali
alibi,alibi
alice,Alice
alicia,Alicia
alien,extraterrestre
aliens,extraterrestres
alike,ressemblent
alive,vivant
all,tout
all,tout
allen,Allen
alley,ruelle
alliance,Alliance
allison,Allison
allow,Autoriser
allowed,autorisé
ally,allié
almost,presque
alone,seul
along,sur
alpha,alpha
already,déjà
alright,bien
also,aussi
alternative,alternative
although,même si
always,toujours
am,un m
am,un m
amanda,amanda
amazing,étonnante
ambassador,ambassadeur
amber,ambre
ambulance,ambulance
amen,amen
america,Amérique
american,américain
americans,les Américains
among,parmi
amongst,parmi
amount,montant
amy,Amy
an,un
analysis,une analyse
ancestors,les ancêtres
ancient,ancien
and,et
and,et
and-,et-
anderson,Anderson
andrea,Andrea
andrew,Andrew
andy,Andy
angel,ange
angela,Angela
angeles,angeles
angels,anges
anger,colère
angle,angle
angry,fâché
animal,animal
animals,animaux
ann,Ann
anna,anna
anne,Anne
annie,Annie
anniversary,anniversaire
announce,annoncer
announcement,annonce
announcer,annonceur
annoying,énervant
anonymous,anonyme
another,une autre
answer,réponse
answered,répondu
answering,réponse
answers,réponses
anthony,Anthony
antonio,Antonio
anxious,anxieux
any,n'importe quel
anybody,n'importe qui
anymore,plus
anyone,quelqu'un
anything,n'importe quoi
anytime,à toute heure
anyway,De toute façon
anyways,de toute façon
anywhere,partout
apart,une part
apartment,appartement
apologies,excuses
apologize,s'excuser
apology,excuses
apparently,Apparemment
appeal,appel
appear,apparaître
appearance,apparence
appeared,est apparu
appears,apparaît
applause,applaudissements
apple,Pomme
application,application
apply,appliquer
appointment,rendez-vous
appreciate,apprécier
approach,approcher
approaching,approchant
appropriate,approprié
approve,approuver
april,avril
are,sommes
area,Région
areas,zones
aren,nœud
argue,se disputer
arguing,argumentant
argument,dispute
arm,bras
